RPS,Fail,Goodput,Latency95,Latency99
11.0,11.0,0.0,2300.0,0
10.5,9.5,1.0,1600.0,0
8.0,7.0,1.0,2500.0,0
11.0,11.0,0.0,2500.0,0
7.0,7.0,0.0,2700.0,0
11.0,11.0,0.0,2300.0,0
8.0,8.0,0.0,2500.0,0
7.5,7.5,0.0,2700.0,0
10.5,10.5,0.0,2800.0,0
13.5,13.5,0.0,2000.0,0
11.5,11.5,0.0,2100.0,0
10.0,10.0,0.0,2100.0,0
10.5,10.5,0.0,2100.0,0
9.5,9.5,0.0,2500.0,0
11.0,11.0,0.0,2400.0,0
9.5,9.5,0.0,2600.0,0
11.5,11.5,0.0,1700.0,0
11.5,11.5,0.0,2100.0,0
10.5,10.5,0.0,2200.0,0
12.5,12.5,0.0,2200.0,0
10.5,10.5,0.0,2200.0,0
20.0,20.0,0.0,1600.0,0
9.0,8.0,1.0,2500.0,0
9.0,9.0,0.0,2500.0,0
8.5,8.5,0.0,2300.0,0
11.0,11.0,0.0,2300.0,0
10.0,10.0,0.0,2100.0,0
10.0,10.0,0.0,2100.0,0
11.5,11.5,0.0,2100.0,0
10.0,10.0,0.0,1800.0,0
4.0,4.0,0.0,2000.0,0
14.0,14.0,0.0,2000.0,0
10.0,10.0,0.0,2100.0,0
8.0,8.0,0.0,2600.0,0
12.0,11.0,1.0,2600.0,0
13.0,12.0,1.0,1900.0,0
10.5,10.5,0.0,1900.0,0
3.0,3.0,0.0,2200.0,0
12.0,10.0,2.0,1900.0,0
10.0,10.0,0.0,2200.0,0
12.0,12.0,0.0,2100.0,0
10.0,10.0,0.0,2300.0,0
10.0,10.0,0.0,2000.0,0
13.0,13.0,0.0,2200.0,0
10.5,10.5,0.0,2200.0,0
10.5,10.5,0.0,1900.0,0
11.0,10.5,0.5,2100.0,0
11.0,10.5,0.5,2000.0,0
1.0,1.0,0.0,2300.0,0
11.5,11.5,0.0,1700.0,0
5.0,5.0,0.0,2700.0,0
11.0,10.5,0.5,2800.0,0
10.5,10.0,0.5,2200.0,0
15.0,15.0,0.0,1900.0,0
15.0,15.0,0.0,1800.0,0
9.5,8.5,1.0,2200.0,0
11.0,10.5,0.5,2100.0,0
13.5,13.0,0.5,2000.0,0
12.0,12.0,0.0,1900.0,0
5.0,5.0,0.0,2600.0,0
20.0,20.0,0.0,1700.0,0
3.0,2.0,1.0,2200.0,0
10.5,9.0,1.5,2200.0,0
0.0,0.0,0.0,2300.0,0
11.0,10.5,0.5,2100.0,0
10.5,10.5,0.0,2300.0,0
12.0,11.0,1.0,2100.0,0
12.0,11.0,1.0,2200.0,0
2.0,2.0,0.0,2100.0,0
10.0,10.0,0.0,1900.0,0
10.0,10.0,0.0,2300.0,0
12.5,12.5,0.0,2300.0,0
11.0,11.0,0.0,1900.0,0
10.0,10.0,0.0,2100.0,0
12.0,12.0,0.0,1900.0,0
12.5,12.5,0.0,2300.0,0
10.0,10.0,0.0,1800.0,0
5.5,5.5,0.0,2300.0,0
12.0,12.0,0.0,2800.0,0
12.5,12.5,0.0,2100.0,0
11.5,11.5,0.0,2100.0,0
10.5,10.5,0.0,2200.0,0
13.0,13.0,0.0,2200.0,0
9.0,9.0,0.0,2300.0,0
11.0,11.0,0.0,2200.0,0
8.0,8.0,0.0,2300.0,0
11.5,11.5,0.0,2300.0,0
11.0,11.0,0.0,2300.0,0
12.0,12.0,0.0,2200.0,0
12.5,12.5,0.0,2000.0,0
11.5,11.5,0.0,2200.0,0
12.5,12.5,0.0,2000.0,0
12.0,12.0,0.0,1800.0,0
11.0,11.0,0.0,2100.0,0
14.0,14.0,0.0,1700.0,0
8.5,8.5,0.0,3100.0,0
10.0,10.0,0.0,2600.0,0
10.0,10.0,0.0,2100.0,0
12.0,11.0,1.0,2200.0,0
6.0,6.0,0.0,2600.0,0
11.0,11.0,0.0,2000.0,0
12.0,12.0,0.0,2000.0,0
11.5,11.5,0.0,2100.0,0
9.5,9.5,0.0,2600.0,0
12.0,12.0,0.0,2400.0,0
11.0,11.0,0.0,2200.0,0
10.5,10.5,0.0,2300.0,0
10.5,10.5,0.0,2300.0,0
11.0,11.0,0.0,2100.0,0
12.5,12.5,0.0,2200.0,0
13.0,13.0,0.0,1900.0,0
12.5,12.5,0.0,1900.0,0
9.0,9.0,0.0,2300.0,0
10.0,10.0,0.0,2300.0,0
10.0,10.0,0.0,1900.0,0
11.0,11.0,0.0,2000.0,0
10.0,10.0,0.0,2100.0,0
10.0,10.0,0.0,2300.0,0
10.5,10.5,0.0,2200.0,0
10.5,10.5,0.0,2500.0,0
11.5,11.5,0.0,2500.0,0
9.0,9.0,0.0,2200.0,0
9.0,9.0,0.0,2400.0,0
11.5,11.5,0.0,2000.0,0
8.5,8.5,0.0,2200.0,0
12.5,12.5,0.0,2200.0,0
10.0,10.0,0.0,2300.0,0
10.5,10.5,0.0,2300.0,0
10.0,10.0,0.0,2500.0,0
16.0,16.0,0.0,2000.0,0
4.0,4.0,0.0,2600.0,0
1.0,1.0,0.0,2600.0,0
15.0,15.0,0.0,1900.0,0
10.5,10.0,0.5,1800.0,0
8.0,7.5,0.5,2200.0,0
12.5,10.5,2.0,2200.0,0
18.5,16.5,2.0,1800.0,0
7.0,7.0,0.0,2000.0,0
10.5,10.5,0.0,2100.0,0
11.0,11.0,0.0,2200.0,0
11.0,11.0,0.0,2000.0,0
12.5,12.0,0.5,1700.0,0
10.5,10.0,0.5,2300.0,0
10.5,10.5,0.0,2200.0,0
12.0,12.0,0.0,2200.0,0
20.0,20.0,0.0,1500.0,0
12.0,12.0,0.0,2200.0,0
10.5,10.0,0.5,1800.0,0
6.0,5.5,0.5,2500.0,0
11.5,10.0,1.5,2500.0,0
9.5,8.0,1.5,2300.0,0
13.5,13.5,0.0,2300.0,0
5.0,5.0,0.0,2100.0,0
21.0,20.0,1.0,1400.0,0
1.0,1.0,0.0,2200.0,0
12.5,12.5,0.0,2000.0,0
9.5,9.5,0.0,2400.0,0
13.0,13.0,0.0,2400.0,0
12.5,12.5,0.0,2200.0,0
10.5,10.5,0.0,2100.0,0
13.5,13.5,0.0,2000.0,0
11.5,11.5,0.0,2000.0,0
12.5,12.5,0.0,2000.0,0
10.5,10.5,0.0,2200.0,0
12.5,12.5,0.0,2200.0,0
12.0,12.0,0.0,2100.0,0
9.5,9.5,0.0,2300.0,0
12.0,12.0,0.0,2400.0,0
11.5,11.5,0.0,2100.0,0
10.0,10.0,0.0,2200.0,0
11.5,11.5,0.0,2200.0,0
10.5,10.5,0.0,2300.0,0
4.0,4.0,0.0,2300.0,0
11.5,11.0,0.5,2100.0,0
10.5,10.5,0.0,2100.0,0
9.0,9.0,0.0,2400.0,0
20.0,20.0,0.0,1500.0,0
11.0,11.0,0.0,2500.0,0
11.5,11.5,0.0,1700.0,0
9.5,9.5,0.0,2200.0,0
11.0,11.0,0.0,2200.0,0
12.5,12.5,0.0,1900.0,0
13.0,13.0,0.0,2000.0,0
10.5,10.5,0.0,2000.0,0
12.5,12.0,0.5,1900.0,0
4.0,3.5,0.5,2400.0,0
11.0,10.5,0.5,2600.0,0
12.5,11.5,1.0,2000.0,0
10.0,9.5,0.5,2400.0,0
10.5,10.0,0.5,2100.0,0
12.5,12.0,0.5,2100.0,0
9.0,9.0,0.0,2300.0,0
14.0,14.0,0.0,2300.0,0
13.0,12.0,1.0,2100.0,0
11.5,11.5,0.0,2100.0,0
9.5,9.5,0.0,2400.0,0
11.5,10.5,1.0,2400.0,0
9.0,8.0,1.0,2700.0,0
12.0,12.0,0.0,2700.0,0
5.0,5.0,0.0,2200.0,0
11.5,11.5,0.0,1900.0,0
9.5,9.5,0.0,2200.0,0
10.5,10.5,0.0,2200.0,0
12.5,12.5,0.0,2200.0,0
10.5,10.0,0.5,2000.0,0
7.5,7.0,0.5,2200.0,0
13.0,12.5,0.5,2100.0,0
18.0,18.0,0.0,1500.0,0
11.0,10.0,1.0,2200.0,0
11.5,11.5,0.0,2200.0,0
5.5,5.5,0.0,2300.0,0
11.5,11.5,0.0,2300.0,0
10.0,10.0,0.0,2300.0,0
11.0,11.0,0.0,2300.0,0
6.0,6.0,0.0,2000.0,0
10.5,10.5,0.0,1700.0,0
12.5,12.5,0.0,2300.0,0
10.5,10.5,0.0,2000.0,0
10.0,10.0,0.0,2600.0,0
13.5,13.5,0.0,2600.0,0
9.5,9.5,0.0,2300.0,0
14.0,14.0,0.0,2100.0,0
10.0,10.0,0.0,2000.0,0
6.5,6.5,0.0,2600.0,0
10.5,10.5,0.0,2500.0,0
14.0,14.0,0.0,1900.0,0
11.0,11.0,0.0,2000.0,0
9.0,9.0,0.0,2400.0,0
11.5,11.5,0.0,2400.0,0
5.0,5.0,0.0,2200.0,0
10.5,10.5,0.0,2200.0,0
6.0,6.0,0.0,2300.0,0
7.5,7.0,0.5,2300.0,0
10.0,10.0,0.0,2300.0,0
12.5,12.5,0.0,1700.0,0
10.5,10.5,0.0,2300.0,0
10.5,10.5,0.0,2100.0,0
12.0,12.0,0.0,2400.0,0
9.0,9.0,0.0,2200.0,0
11.0,11.0,0.0,2400.0,0
10.0,10.0,0.0,2100.0,0
12.5,12.5,0.0,2400.0,0
12.0,12.0,0.0,2000.0,0
11.5,11.0,0.5,2200.0,0
10.5,10.0,0.5,2400.0,0
11.0,11.0,0.0,2500.0,0
10.5,10.5,0.0,2400.0,0
11.0,11.0,0.0,2400.0,0
9.5,9.5,0.0,2400.0,0
11.0,11.0,0.0,2400.0,0
7.5,7.5,0.0,2800.0,0
11.5,10.0,1.5,2800.0,0
11.0,9.5,1.5,2300.0,0
18.0,18.0,0.0,1800.0,0
5.5,5.5,0.0,2700.0,0
10.5,10.5,0.0,2800.0,0
10.0,10.0,0.0,2200.0,0
11.0,11.0,0.0,2200.0,0
11.5,11.5,0.0,2200.0,0
11.5,11.5,0.0,2200.0,0
12.0,12.0,0.0,2200.0,0
15.0,15.0,0.0,1500.0,0
9.0,9.0,0.0,2300.0,0
8.5,8.5,0.0,2800.0,0
10.0,10.0,0.0,2700.0,0
11.0,11.0,0.0,1900.0,0
13.5,13.5,0.0,1900.0,0
11.0,11.0,0.0,2300.0,0
16.0,16.0,0.0,2100.0,0
10.5,10.5,0.0,2300.0,0
11.5,11.0,0.5,2300.0,0
8.5,8.0,0.5,2700.0,0
11.0,11.0,0.0,2700.0,0
10.0,10.0,0.0,2100.0,0
12.0,12.0,0.0,2100.0,0
11.5,11.5,0.0,2300.0,0
16.0,16.0,0.0,2100.0,0
11.5,11.5,0.0,1800.0,0
12.5,12.5,0.0,2000.0,0
11.5,11.5,0.0,2000.0,0
11.5,11.5,0.0,2200.0,0
10.5,10.5,0.0,2200.0,0
13.0,13.0,0.0,2100.0,0
10.0,10.0,0.0,2100.0,0
20.0,20.0,0.0,1300.0,0
10.0,10.0,0.0,2600.0,0
11.0,10.0,1.0,2500.0,0
12.5,11.5,1.0,2000.0,0
11.5,11.5,0.0,2000.0,0
3.5,3.5,0.0,2700.0,0
10.5,10.5,0.0,2700.0,0
6.0,6.0,0.0,2100.0,0
12.5,12.0,0.5,2000.0,0
12.0,11.0,1.0,2000.0,0
14.5,13.5,1.0,2000.0,0
12.0,11.0,1.0,2100.0,0
10.0,9.0,1.0,2300.0,0
12.5,12.0,0.5,2300.0,0
8.5,8.0,0.5,2400.0,0
12.0,11.0,1.0,1600.0,0
9.0,8.0,1.0,2300.0,0
11.5,11.5,0.0,2200.0,0
14.0,14.0,0.0,2100.0,0
12.0,12.0,0.0,2200.0,0
12.0,12.0,0.0,2200.0,0
12.0,12.0,0.0,1700.0,0
4.5,4.5,0.0,2700.0,0
13.0,13.0,0.0,2100.0,0
9.0,9.0,0.0,2400.0,0
11.0,11.0,0.0,2600.0,0
12.0,12.0,0.0,2200.0,0
12.5,12.5,0.0,2200.0,0
13.0,13.0,0.0,2100.0,0
11.0,11.0,0.0,2100.0,0
11.0,11.0,0.0,2100.0,0
9.0,9.0,0.0,2700.0,0
6.0,6.0,0.0,3000.0,0
12.5,12.5,0.0,2900.0,0
16.0,16.0,0.0,1800.0,0
12.0,11.0,1.0,1700.0,0
8.0,7.0,1.0,2200.0,0
10.0,10.0,0.0,2200.0,0
9.0,9.0,0.0,2100.0,0
9.0,9.0,0.0,2300.0,0
9.5,9.5,0.0,2400.0,0
11.0,11.0,0.0,2400.0,0
11.5,11.5,0.0,2000.0,0
10.5,10.5,0.0,2200.0,0
12.0,12.0,0.0,2200.0,0
11.5,11.5,0.0,2000.0,0
10.5,10.5,0.0,2400.0,0
6.0,6.0,0.0,2000.0,0
11.5,11.5,0.0,2100.0,0
11.0,11.0,0.0,2100.0,0
11.0,11.0,0.0,2300.0,0
12.0,12.0,0.0,2400.0,0
12.0,12.0,0.0,2100.0,0
16.0,16.0,0.0,1800.0,0
4.0,4.0,0.0,2300.0,0
11.5,11.0,0.5,1800.0,0
3.0,2.0,1.0,2000.0,0
12.5,12.0,0.5,1900.0,0
9.5,9.5,0.0,2200.0,0
10.0,10.0,0.0,2300.0,0
11.5,11.5,0.0,2100.0,0
6.0,6.0,0.0,2100.0,0
9.5,9.5,0.0,2200.0,0
10.0,10.0,0.0,2300.0,0
14.0,14.0,0.0,2500.0,0
11.5,11.5,0.0,2100.0,0
10.0,10.0,0.0,2200.0,0
10.0,10.0,0.0,2200.0,0
9.5,9.5,0.0,2300.0,0
13.0,13.0,0.0,1900.0,0
7.0,7.0,0.0,2500.0,0
10.0,10.0,0.0,2100.0,0
6.0,6.0,0.0,2400.0,0
11.5,11.5,0.0,2100.0,0
12.5,12.0,0.5,2200.0,0
10.5,9.5,1.0,2100.0,0
10.5,10.0,0.5,2400.0,0
3.0,3.0,0.0,1900.0,0
11.5,10.5,1.0,1700.0,0
12.0,11.5,0.5,2200.0,0
21.0,20.0,1.0,840.0,0
1.0,0.0,1.0,2300.0,0
11.5,11.5,0.0,1800.0,0
10.5,10.5,0.0,1800.0,0
13.0,13.0,0.0,1800.0,0
12.0,12.0,0.0,2300.0,0
7.0,7.0,0.0,2400.0,0
12.0,11.0,1.0,1900.0,0
12.0,12.0,0.0,2200.0,0
11.0,10.0,1.0,2100.0,0
11.0,10.0,1.0,2100.0,0
12.0,11.0,1.0,2100.0,0
10.5,9.5,1.0,2200.0,0
8.5,8.5,0.0,2400.0,0
10.0,10.0,0.0,2400.0,0
13.5,13.5,0.0,1900.0,0
10.5,10.5,0.0,2000.0,0
10.5,10.5,0.0,2000.0,0
10.5,10.5,0.0,2100.0,0
11.0,11.0,0.0,2100.0,0
12.0,12.0,0.0,2100.0,0
12.0,12.0,0.0,2000.0,0
11.0,11.0,0.0,2300.0,0
11.0,11.0,0.0,2300.0,0
10.5,10.5,0.0,2000.0,0
13.0,13.0,0.0,2000.0,0
12.5,12.5,0.0,2100.0,0
10.5,10.5,0.0,2000.0,0
12.0,12.0,0.0,2300.0,0
13.0,13.0,0.0,1800.0,0
11.5,11.5,0.0,1800.0,0
12.5,12.5,0.0,2200.0,0
11.5,11.5,0.0,2300.0,0
10.0,10.0,0.0,2500.0,0
10.5,10.5,0.0,2200.0,0
12.5,12.5,0.0,2200.0,0
2.0,2.0,0.0,2200.0,0
20.0,20.0,0.0,1400.0,0
5.0,4.0,1.0,2200.0,0
10.5,10.5,0.0,1800.0,0
10.0,10.0,0.0,2000.0,0
11.5,11.5,0.0,1700.0,0
6.0,6.0,0.0,2200.0,0
12.0,11.5,0.5,2200.0,0
9.0,9.0,0.0,2200.0,0
13.0,13.0,0.0,2000.0,0
12.5,12.5,0.0,2000.0,0
9.0,9.0,0.0,2200.0,0
11.0,11.0,0.0,2300.0,0
11.0,11.0,0.0,2300.0,0
10.5,10.5,0.0,2300.0,0
10.5,10.5,0.0,2000.0,0
10.0,10.0,0.0,2000.0,0
10.5,10.5,0.0,2500.0,0
10.5,10.5,0.0,2000.0,0
12.5,12.5,0.0,2100.0,0
12.0,12.0,0.0,2300.0,0
10.5,10.5,0.0,2300.0,0
10.0,10.0,0.0,2200.0,0
4.0,4.0,0.0,2500.0,0
10.0,10.0,0.0,2500.0,0
10.0,10.0,0.0,2500.0,0
12.5,11.5,1.0,1900.0,0
11.5,10.5,1.0,2000.0,0
11.5,11.0,0.5,1900.0,0
10.5,10.0,0.5,2000.0,0
5.5,5.5,0.0,2400.0,0
12.0,11.5,0.5,2800.0,0
12.0,11.0,1.0,1800.0,0
11.0,10.5,0.5,2200.0,0
12.0,12.0,0.0,2000.0,0
9.5,9.5,0.0,2300.0,0
11.5,11.5,0.0,2300.0,0
9.0,9.0,0.0,2300.0,0
12.5,12.5,0.0,2000.0,0
10.5,10.5,0.0,2500.0,0
11.5,11.5,0.0,2100.0,0
10.5,10.5,0.0,2100.0,0
13.0,13.0,0.0,2200.0,0
12.5,12.5,0.0,2000.0,0
9.5,9.5,0.0,2100.0,0
13.0,13.0,0.0,2000.0,0
14.0,14.0,0.0,1900.0,0
10.0,10.0,0.0,1900.0,0
9.0,9.0,0.0,2800.0,0
11.0,11.0,0.0,2600.0,0
13.5,13.5,0.0,1900.0,0
12.0,12.0,0.0,1900.0,0
10.0,10.0,0.0,2300.0,0
11.5,11.5,0.0,1800.0,0
10.0,10.0,0.0,2100.0,0
10.0,10.0,0.0,2100.0,0
8.0,8.0,0.0,2300.0,0
11.0,11.0,0.0,2300.0,0
10.0,10.0,0.0,2400.0,0
11.0,11.0,0.0,2600.0,0
2.0,2.0,0.0,2300.0,0
12.0,12.0,0.0,1600.0,0
10.0,10.0,0.0,2200.0,0
11.5,11.5,0.0,2200.0,0
7.5,7.5,0.0,2200.0,0
12.0,12.0,0.0,2200.0,0
12.0,12.0,0.0,2500.0,0
9.5,9.5,0.0,2500.0,0
8.0,8.0,0.0,2300.0,0
12.0,12.0,0.0,2100.0,0
11.5,11.5,0.0,2200.0,0
